"naam"	"naam_clean"
"Asaccharospora irregularis"	"Asaccharospora irregularis"
"Ascomycete (Mycoshaerellaceae)"	"Ascomycete (Mycoshaerellaceae)"
"Ascomycete (Pestalotiopsis"	"Ascomycete (Pestalotiopsis"
"Aspergillus aculeatus"	"Aspergillus aculeatus"
"Aspergillus alabamensis"	"Aspergillus alabamensis"
"Aspergillus brasiliensis"	"Aspergillus brasiliensis"
"Aspergillus brevipes"	"Aspergillus brevipes"
"Aspergillus calidoustus"	"Aspergillus calidoustus"
"Aspergillus chevalieri"	"Aspergillus chevalieri"
"Aspergillus clavatus"	"Aspergillus clavatus"
"Aspergillus duricaulis"	"Aspergillus duricaulis"
"Aspergillus flavipes"	"Aspergillus flavipes"
"Aspergillus flavus"	"Aspergillus flavus"
"Aspergillus flavus_oryzae_group"	"Aspergillus flavus_oryzae_group"
"Aspergillus fumigatiaffinis"	"Aspergillus fumigatiaffinis"
"Aspergillus fumigatus"	"Aspergillus fumigatus"
"Aspergillus glaucus"	"Aspergillus glaucus"
"Aspergillus iizukae"	"Aspergillus iizukae"
"Aspergillus japonicus"	"Aspergillus japonicus"
"Aspergillus lentulus"	"Aspergillus lentulus"
"Aspergillus minisclerotigenes"	"Aspergillus minisclerotigenes"
"Aspergillus montevidensis"	"Aspergillus montevidensis"
"Aspergillus nidulans"	"Aspergillus nidulans"
"Aspergillus niger"	"Aspergillus niger"
"Aspergillus nomius"	"Aspergillus nomius"
"Aspergillus novofumigatus"	"Aspergillus novofumigatus"
"Aspergillus ochraceus"	"Aspergillus ochraceus"
"Aspergillus oryzae"	"Aspergillus oryzae"
"Aspergillus parasiticus"	"Aspergillus parasiticus"
"Aspergillus penicillioides"	"Aspergillus penicillioides"
"Aspergillus pseudoglaucus"	"Aspergillus pseudoglaucus"
"Aspergillus pulvinus"	"Aspergillus pulvinus"
"Aspergillus ruber"	"Aspergillus ruber"
"Aspergillus sclerotiorum"	"Aspergillus sclerotiorum"
"Aspergillus sojae"	"Aspergillus sojae"
"Aspergillus sp[4]"	"Aspergillus sp"
"Aspergillus species"	"Aspergillus species"
"Aspergillus sydowii"	"Aspergillus sydowii"
"Aspergillus tamarii"	"Aspergillus tamarii"
"Aspergillus terreus"	"Aspergillus terreus"
"Aspergillus tritici"	"Aspergillus tritici"
"Aspergillus tubingensis"	"Aspergillus tubingensis"
"Aspergillus unguis"	"Aspergillus unguis"
"Aspergillus unilateralis"	"Aspergillus unilateralis"
"Aspergillus ustus"	"Aspergillus ustus"
"Aspergillus uvarum"	"Aspergillus uvarum"
"Aspergillus versicolor"	"Aspergillus versicolor"
"Aspergillus viridinutans"	"Aspergillus viridinutans"
"Aspergillus westerdijkiae"	"Aspergillus westerdijkiae"
"Aspergillus westerdjikiae"	"Aspergillus westerdjikiae"
"Aspergillus_nidulans[ana] Emericella_nidulans[teleo]"	"Aspergillus nidulans"
"Aspergillus_thermomutatus[ana] (Neosartorya_pseudofischeri[teleo]#)"	"Aspergillus thermomutatus"
"Atopobacter phocae"	"Atopobacter phocae"
"Atopobium deltae"	"Atopobium deltae"
"Atopobium fossor"	"Atopobium fossor"
"Atopobium minutum"	"Atopobium minutum"
"Atopobium parvulum"	"Atopobium parvulum"
"Atopobium rimae"	"Atopobium rimae"
"Atopobium sp"	"Atopobium sp"
"Atopobium vaginae"	"Atopobium vaginae"
"Aureimonas altamirensis"	"Aureimonas altamirensis"
"Aureobasidium melanogenum"	"Aureobasidium melanogenum"
"Aureobasidium pullulans"	"Aureobasidium pullulans"
"Auritidibacter_ignavus_16-613626_UMCU"	"Auritidibacter ignavus"
"Austwickia chelonae"	"Austwickia chelonae"
"Avibacterium avium"	"Avibacterium avium"
"Avibacterium endocarditidis"	"Avibacterium endocarditidis"
"Avibacterium gallinarum"	"Avibacterium gallinarum"
"Avibacterium paragallinarum"	"Avibacterium paragallinarum"
"Avibacterium volantium"	"Avibacterium volantium"
"Azoarcus communis"	"Azoarcus communis"
"Azoarcus indigens"	"Azoarcus indigens"
"Azoarcus sp"	"Azoarcus sp"
"Azohydromonas lata"	"Azohydromonas lata"
"B1817"	"B1817"
"B2043"	"B2043"
"Bacillus acidicola"	"Bacillus acidicola"
"Bacillus agaradhaerens"	"Bacillus agaradhaerens"
"Bacillus akibai"	"Bacillus akibai"
"Bacillus alcalophilus"	"Bacillus alcalophilus"
"Bacillus algicola"	"Bacillus algicola"
"Bacillus altitudinis"	"Bacillus altitudinis"
"Bacillus alveayuensis"	"Bacillus alveayuensis"
"Bacillus amyloliquefaciens"	"Bacillus amyloliquefaciens"
"Bacillus amyloliquefaciens_ssp_plantarum"	"Bacillus amyloliquefaciens - plantarum"
"Bacillus anthracis"	"Bacillus anthracis"
"Bacillus aquimaris"	"Bacillus aquimaris"
"Bacillus asahii"	"Bacillus asahii"
"Bacillus atrophaeus"	"Bacillus atrophaeus"
"Bacillus azotoformans"	"Bacillus azotoformans"
"Bacillus badius"	"Bacillus badius"
"Bacillus bataviensis"	"Bacillus bataviensis"
"Bacillus benzoevorans"	"Bacillus benzoevorans"
"Bacillus beringensis"	"Bacillus beringensis"
"Bacillus carboniphilus"	"Bacillus carboniphilus"
"Bacillus cellulosilyticus"	"Bacillus cellulosilyticus"
"Bacillus cereus"	"Bacillus cereus"
"Bacillus chagannorensis"	"Bacillus chagannorensis"
"Bacillus cibi"	"Bacillus cibi"
"Bacillus circulans"	"Bacillus circulans"
"Bacillus clarkii"	"Bacillus clarkii"
"Bacillus clausii"	"Bacillus clausii"
"Bacillus coagulans"	"Bacillus coagulans"
"Bacillus cohnii"	"Bacillus cohnii"
"Bacillus cytotoxicus"	"Bacillus cytotoxicus"
"Bacillus decolorationis"	"Bacillus decolorationis"
"Bacillus drentensis"	"Bacillus drentensis"
"Bacillus endophyticus"	"Bacillus endophyticus"
"Bacillus farraginis"	"Bacillus farraginis"
"Bacillus fastidiosus"	"Bacillus fastidiosus"
"Bacillus firmus"	"Bacillus firmus"
"Bacillus flexus"	"Bacillus flexus"
"Bacillus fordii"	"Bacillus fordii"
"Bacillus fortis"	"Bacillus fortis"
"Bacillus funiculus"	"Bacillus funiculus"
"Bacillus galactosidilyticus"	"Bacillus galactosidilyticus"
"Bacillus galliciensis"	"Bacillus galliciensis"
"Bacillus gibsonii"	"Bacillus gibsonii"
